id1,id2,class
1125198,1159098,d
559346,559345,d
602150,97868,d
1374321,662210,d
828456,992608,d
816473,1348330,d
602623,714065,d
828880,1353819,d
731727,602561,d
662611,1059463,s
661998,1374311,d
968723,1287993,d
816438,656060,d
655875,982829,s
593633,230088,d
788854,804576,d
732181,97421,d
655986,1002839,s
1202957,938899,d
1089375,960067,d
1298876,157303,d
1059325,662562,d
133828,788770,d
1046581,1287816,s
72397,1124139,d
1124571,959009,s
293135,1313741,d
1288160,1287970,s
556069,560486,d
1040923,1041095,d
734111,97866,d
1373298,1298813,d
1298941,593817,s
1002914,789380,d
662877,732191,d
731261,1059372,d
661896,663143,s
1040757,500866,d
655965,819469,d
816447,1087790,d
1288218,1348356,s
488062,633899,d
868098,157307,d
1089603,970689,d
97225,1059631,d
593488,959575,d
1298895,819503,d
1089745,662480,d
1108425,828991,d
1002743,619273,d
592099,380244,d
828204,828585,d
394572,766198,d
958900,1374818,d
982763,1288272,s
1114966,210607,d
121272,1366766,d
1046619,828636,d
230097,133853,d
500862,959325,d
939288,1087819,d
1125516,1089709,s
793282,1141568,d
716352,662938,d
992955,1389296,d
1287840,1287981,d
1141506,982741,d
992590,1089478,s
399054,1002851,d
993055,1125507,d
1124103,1366824,d
1059401,1058688,d
1059258,804621,d
560534,1318850,d
992535,959787,d
15790,655973,d
593620,959266,d
992798,97728,d
662919,1298972,d
120054,662343,d
662383,1368209,d
1089367,816474,d
1313712,1314022,d
663127,982746,d
959981,1288115,d
1124112,210603,d
1298836,1003933,d
822099,712538,d
1374421,410999,d
1001471,556134,d
663286,1114963,d
1374736,992731,d
1366873,982779,s
959502,993164,d
72484,1159139,d
789126,887033,d
1058554,1318993,d
480204,380223,d
1299007,1373265,d
418404,1373253,d
816485,1348303,d
1124813,658839,d
1124188,1089282,d
1366378,982647,s
993081,1089983,d
324577,593459,d
1058435,1373295,d
1002887,1366380,s
1116047,375006,d
181204,1059051,d
1287970,982904,s
662437,959324,d
1366738,982798,s
227221,592743,d
1124509,968709,d
1288146,982691,s
1089844,1059115,s
593418,784012,s
1124857,1125199,s
716366,97174,d
560638,1047067,d
731870,714004,d
1298693,1391868,d
1159123,1348161,d
1118483,982917,s
655962,1366585,s
593613,1125048,d
662912,959149,d
476228,127529,d
789402,1124375,d
1124509,210598,s
662827,1001482,d
1313946,519379,d
1313936,712508,d
1124122,1089831,s
446041,671847,d
732199,716378,d
482451,655948,d
1118823,982708,s
1125360,1125078,s
1125243,1125293,s
1059436,734078,d
1411520,263805,d
1366626,1002901,s
1260711,1348177,s
299925,330045,d
97611,285078,d
822175,1125541,d
926134,827877,d
1108465,655904,d
1002833,655973,s
1087781,714036,s
224702,1288034,d
1363570,1363552,s
1124882,958938,d
1366623,655880,s
819495,374231,d
1298815,1353786,s
992737,1299071,d
376061,819530,d
992761,993144,d
968717,1059463,d
17826,939243,d
968753,788895,d
123430,1002893,d
1298992,1374374,d
1058445,992839,d
939250,617693,d
501109,1115991,d
98081,959635,d
970699,1108294,d
789481,662288,d
445172,1313832,d
928301,1124291,d
959980,959251,d
120748,1004165,s
1089502,1058703,d
15826,672104,d
324618,488039,d
1089636,1348182,d
827868,992759,d
1374541,993001,d
480215,1243520,d
1040802,861574,d
1058874,500971,d
325887,982755,d
1366764,1348085,s
17811,17817,s
1374551,661941,d
1004061,445169,d
1288013,1089670,d
1040909,939262,s
655922,656038,d
1125652,992678,d
1089476,985843,s
143429,1124167,s
1124559,1125013,d
804625,734066,d
1058493,1089668,d
602691,787677,d
556384,72543,d
556109,634542,d
1374406,1374335,s
1124735,656010,d
1004048,1124170,s
1124686,593746,d
479862,1040855,d
662858,1195613,d
662427,992462,d
959013,959336,d
663149,1058846,d
1125079,423288,d
1366503,1002843,s
1202972,265499,d
519426,180605,d
822432,1298571,d
731846,1090028,d
1108295,558832,d
1141525,982799,d
663221,97210,d
789551,732092,s
566832,655865,d
960024,1058893,d
1089450,1059479,d
982710,1348318,s
992709,1108367,s
633876,970635,d
1141513,392912,d
1041162,1107625,d
1002864,793237,d
1116023,662833,d
413927,406984,d
1366850,1087759,s
157632,1004008,d
788855,789613,s
1041201,1059407,d
123386,97541,d
868097,509831,d
1124807,1116268,d
816528,1288001,d
1288012,1348192,s
992834,1124154,s
828710,671994,d
476584,558832,d
887161,157555,d
1118824,1089584,d
1119054,655966,d
1059518,1374291,d
822328,982667,d
821845,559281,d
123382,557296,d
1108332,928035,d
617610,97573,d
958969,1089955,s
970768,1041203,d
1318928,1326325,d
1089546,1090039,d
732119,992760,d
731694,559740,d
1001468,1124449,d
122828,557416,d
816568,828054,d
558819,1226930,d
822014,1124656,s
399034,816500,d
1089764,1087041,d
1299157,959763,d
558804,662057,d
1298435,1319252,d
662285,662533,s
1299209,120698,d
1124213,1195588,s
593711,593302,s
958713,958666,s
993048,120044,d
1374371,1319112,d
17847,1124998,d
215538,160286,d
205194,476225,d
982757,656063,d
655986,1002799,d
160218,117990,d
401053,1125541,d
663264,828556,d
97673,968764,d
816556,171489,d
1116014,939123,d
602159,1089596,d
97371,1108395,d
1374830,992695,d
1058856,600956,d
617495,982790,d
662961,1374720,s
392884,1287757,d
1089445,489404,d
1040837,1046644,d
733137,17910,d
500898,662000,d
1299040,1349133,d
1374654,992539,d
1059009,816433,d
1041119,463454,d
15778,1059355,d
17863,1046584,d
471959,788697,d
816502,519369,d
592112,944700,d
968767,663111,d
1411471,265735,d
127528,15782,d
593830,1089919,s
816726,556457,d
959518,731677,d
662359,819388,s
619277,1366855,d
655962,1366819,s
17951,1003982,d
207858,1004008,d
1287938,1348326,s
982658,1287769,s
478310,1107659,d
1125676,1089673,d
117986,1287980,s
97487,423285,d
928345,1058849,d
656038,1002902,s
1288114,982656,s
15745,731094,s
1366602,816439,s
1124224,982772,d
731133,160179,d
1058953,264240,d
982906,1288113,d
1374363,982646,d
1125104,887016,d
1260725,1374708,d
120749,593814,s
1089363,1195568,s
671804,1348250,d
1389284,992707,d
593350,992746,d
1243072,383031,d
1003887,17899,d
959324,1240109,d
970814,655888,d
1125229,662507,s
1124289,1374630,d
712476,712568,d
593385,120753,s
1002909,117979,s
1090073,1059312,d
828039,662456,d
1124356,602681,d
1202977,1059642,d
1366803,1288156,s
1124095,1195580,s
1005849,21520,d
822518,662332,s
72567,970742,d
1119038,714018,d
1107845,816449,s
207866,1040740,d
97727,1353825,d
1041144,1125290,d
793214,559467,d
1374477,926134,d
1125198,1125359,s
716353,992767,s
663261,1089467,d
663203,1125081,s
455713,636573,d
1288212,982772,s
406813,1090006,s
992947,1108409,s
671957,828114,s
593541,993145,d
1002845,1348295,s
958826,265473,d
959020,1348188,d
1058542,1089474,d
788860,1389286,d
17803,139629,d
1374543,1298480,d
560465,655981,d
783972,1116179,d
1374722,500922,d
662825,122908,d
714109,1348284,s
507025,732145,d
662538,1003963,d
656070,655909,s
1141548,410994,d
1089814,819566,d
293530,1108359,d
17806,482035,d
1319305,1374621,d
1298455,828618,d
121261,97647,d
1125115,656023,d
417697,662280,s
788383,828455,d
1118976,1118970,s
822161,1124593,s
1089427,1374370,d
1121276,816558,d
959288,804577,d
97849,671860,d
959402,1089572,d
788689,789464,s
959180,1059083,d
497184,1089374,d
716390,224696,d
1125742,1374463,s
939255,1299157,d
1089540,1298436,d
958786,958712,d
593759,1124825,d
1319146,1125081,d
1298424,1125302,d
1058825,663010,d
329926,656081,d
959193,1370851,d
787461,1288084,d
1366871,982868,s
1004245,1058809,d
1004248,1299161,d
1383348,1125478,d
716444,1366620,d
959660,1124940,s
15826,733063,s
207904,509711,d
1299071,992866,d
593511,649386,d
1119021,982925,s
714026,714049,s
1089548,1089674,s
982671,982782,s
827999,181202,d
171489,98523,d
662167,887030,d
1348237,939062,d
816502,1370848,d
732213,1059249,d
556117,1313767,d
992456,1299225,s
180585,992574,d
662295,1004236,d
663074,1089938,d
1313839,655932,d
662950,1124839,d
453770,1299151,d
1058892,593541,d
992533,959669,d
1298907,418410,s
822331,928317,d
238059,120252,d
15773,97689,d
1046646,1366486,d
1298985,559463,d
944545,662851,d
789589,72376,s
662084,1059592,d
993091,662644,d
982821,819429,d
982754,944714,s
293135,789568,d
822205,1089788,d
1348224,714111,s
828341,523661,d
1002799,655876,s
822427,1116226,d
490601,714139,d
958946,417607,d
662178,958654,d
1046622,662714,d
646285,982751,d
959921,139653,d
601017,1058375,d
787417,120106,d
1287924,982918,s
828524,1089386,d
1298650,819383,d
1348282,1004222,d
97183,560529,d
1089337,822532,d
15788,828148,d
1124422,1004197,d
968725,1003894,d
822293,1089916,s
1107867,1287958,s
982766,1366415,s
868183,731666,d
655942,1059626,d
265260,602146,s
1374261,928261,d
716445,1089686,d
1002716,476228,d
1107591,1046567,d
412470,1366592,d
1087039,970737,d
1059312,1108399,d
123422,120043,d
1125230,982719,d
1288138,662244,d
1107880,210246,d
992459,958719,s
1125062,1374856,d
453763,593712,s
169977,655952,d
944675,1004231,d
1058677,828019,d
980130,594127,d
387639,387648,d
1089481,72426,d
816486,1288006,s
1059604,993107,d
169928,861624,d
1326349,1298584,d
662543,1059068,d
1348210,1046561,d
1288219,982730,s
662256,1241404,d
1238740,1366821,d
1040776,1087818,d
1124560,804639,d
993203,1087002,d
787674,1299007,d
663294,828892,d
1287890,117991,d
656005,1202940,d
1002821,1349137,s
229928,828225,d
1119008,1041159,d
959851,1366771,d
98399,1389271,d
662492,1114962,d
662874,1089453,d
558818,72542,d
97451,556273,d
1002854,1004185,d
656007,1366764,s
1348254,1118982,d
980921,646239,d
1374276,1298449,d
1046620,171437,d
619296,157316,d
1298468,1124527,d
816564,982799,s
1059612,481337,d
970805,1298487,d
446093,497698,d
593469,828451,d
1059469,661886,d
368546,1058681,d
556084,453773,d
1226648,1124518,d
656065,1002896,d
207894,1125365,d
662573,1059334,d
959611,1089724,d
731247,731135,s
1202952,1221879,d
1124613,968742,d
968740,1199123,d
593718,1124285,s
985849,1108344,s
661981,120118,d
1159150,205154,d
714092,655984,s
698931,1124945,s
959741,379392,d
1288231,1348222,d
1059269,992799,d
789604,558808,d
787672,822150,d
97546,97180,d
828643,224684,d
1017569,1313711,d
1108461,1125677,d
602634,828661,s
1124703,1089946,d
633896,992844,s
1299071,1089477,d
1385272,1384047,d
1124590,1287947,d
1087769,656028,d
662725,1243061,d
1041010,1058490,d
958654,1059460,s
97973,731212,d
828540,827998,d
982730,1107874,s
1374438,593387,d
662560,822150,d
1108335,716467,d
97866,1119016,d
1003924,663242,d
394627,559271,d
207893,982891,d
716473,662338,d
1298940,417697,s
959347,633765,d
1004013,1058930,d
374212,1141459,d
1086972,1059304,d
387652,619269,d
662569,662882,d
1059546,1124976,s
1059289,1089649,d
497176,160211,d
1124949,1058375,d
1087823,1366773,s
663281,602530,d
1087064,1288185,d
602446,1202981,d
1124138,1003934,d
959724,1313826,d
1124963,993078,s
662923,928337,d
602453,714035,d
992951,1299196,d
662331,593416,d
646142,1238573,d
97591,560642,d
1288294,1366498,s
1124998,992834,d
453759,1108490,d
1040821,1288131,d
596085,1114954,d
1366869,712480,d
1348239,1059596,d
1124671,497186,d
1124935,982766,d
1089484,662605,d
1366378,1287877,s
120091,1374844,d
1089328,471893,d
1108573,671782,d
1087818,1046626,s
593458,1195636,d
663148,157547,d
1090094,1059434,d
787771,1116280,s
663256,368544,d
617618,1125666,d
1124330,968780,d
1221842,646123,s
1374430,714961,d
1202955,1348085,d
179728,97862,d
1319420,556334,d
959861,1348221,d
663240,1124162,d
733147,828224,d
1348357,1349138,s
1059148,1124975,d
602562,1002758,d
1059411,959403,s
227205,476668,d
1412704,1046542,d
557415,789385,d
1089613,1058545,d
1242385,97979,d
1124056,655995,d
1298498,1108574,s
1087755,655920,s
169938,500878,d
1263173,1041128,d
1348186,1119040,d
992996,788855,d
